Temperature,Fuel_Price,CPI,Unemployment,holiday,inventory_level,day,month,year,week,dayofweek,lag_1,lag_7,rolling_mean_7,actual_sales,predicted_sales,store_id,Date,final_forecast,history_count
56.73,2.771,210.65429,8.476,0,1036248.32,19,11,2010,46,4,517546.69,529877.93,519346.97857142857,518124.16,518113.78759999975,37,2010-11-19,518113.78759999975,136
67.73,2.735,210.5152765,8.476,0,1036441.44,26,11,2010,47,4,518124.16,524483.65,517667.8685714286,518220.72,518126.95559999987,37,2010-11-26,518126.95559999987,136
54.44,2.708,210.376263,8.476,0,1016426.28,3,12,2010,48,4,518220.72,498925.86,516773.1642857143,508213.14,508343.34169999964,37,2010-12-03,508343.34169999964,136
51.83,2.843,210.2372494,8.476,0,1022415.04,10,12,2010,49,4,508213.14,510425.4,518099.91857142857,511207.52,511049.85520000017,37,2010-12-10,511049.85520000017,136
56.73,2.869,210.1787224,8.476,0,1068570.42,17,12,2010,50,4,511207.52,514485.9,518211.65,534285.21,534436.0628000002,37,2010-12-17,534436.0628000002,136
59.1,2.886,210.1805602,8.476,0,1153619.84,24,12,2010,51,4,534285.21,539683.42,521040.1228571429,576809.92,576880.0519999997,37,2010-12-24,576880.0519999997,136
52.88,2.943,210.182398,8.476,0,920663.4,31,12,2010,52,4,576809.92,517546.69,526343.9085714285,460331.7,460069.67500000016,37,2010-12-31,460069.67500000016,136
54.11,2.976,210.1842358,8.395,0,1084928.04,7,1,2011,1,4,460331.7,518124.16,518170.3385714286,542464.02,542468.1434000003,37,2011-01-07,542468.1434000003,136
42.87,2.983,210.2379731,8.395,0,1051233.8,14,1,2011,2,4,542464.02,518220.72,521647.4614285714,525616.9,525752.4387,37,2011-01-14,525752.4387,136
51.18,3.016,210.6031072,8.395,0,1052973.64,21,1,2011,3,4,525616.9,508213.14,522704.0585714286,526486.82,526489.0743999999,37,2011-01-21,526489.0743999999,136
48.74,3.01,210.9682412,8.395,0,1027344.72,28,1,2011,4,4,526486.82,511207.52,525314.5842857143,513672.36,513478.3762000005,37,2011-01-28,513478.3762000005,136
46.68,2.989,211.3333753,8.395,0,1167670.36,4,2,2011,5,4,513672.36,534285.21,525666.7042857142,583835.18,583548.5002000006,37,2011-02-04,583548.5002000006,136
41.16,3.022,211.6985093,8.395,0,1045028.64,11,2,2011,6,4,583835.18,576809.92,532745.2714285714,522514.32,522631.62800000026,37,2011-02-11,522631.62800000026,136
57.48,3.045,212.0063522,8.395,0,1073681.38,18,2,2011,7,4,522514.32,460331.7,524988.7571428571,536840.69,537049.1325000005,37,2011-02-18,537049.1325000005,136
67.73,3.065,212.2912786,8.395,0,1029516.38,25,2,2011,8,4,536840.69,542464.02,535918.6128571428,514758.19,514766.1337000002,37,2011-02-25,514766.1337000002,136
64.55,3.288,212.576205,8.395,0,1055144.5,4,3,2011,9,4,514758.19,525616.9,531960.6371428572,527572.25,527244.4256999999,37,2011-03-04,527244.4256999999,136
59.15,3.459,212.8611313,8.395,0,1011220.8,11,3,2011,10,4,527572.25,526486.82,532239.9728571428,505610.4,505429.18669999973,37,2011-03-11,505429.18669999973,136
64.9,3.488,213.1096787,8.395,0,957006.12,18,3,2011,11,4,505610.4,513672.36,529257.6271428572,478503.06,479074.5574999999,37,2011-03-18,479074.5574999999,136
71.07,3.473,213.3436744,8.395,0,1044211.86,25,3,2011,12,4,478503.06,583835.18,524233.4414285715,522105.93,521987.87770000065,37,2011-03-25,521987.87770000065,136
67.31,3.524,213.5776701,8.3,0,1069157.56,1,4,2011,13,4,522105.93,522514.32,515414.9771428571,534578.78,534998.9007000001,37,2011-04-01,534998.9007000001,136
69.39,3.622,213.8116658,8.3,0,1087406.32,8,4,2011,14,4,534578.78,536840.69,517138.47142857144,543703.16,543736.8152,37,2011-04-08,543736.8152,136
73.25,3.743,214.026217,8.3,0,1087551.74,15,4,2011,15,4,543703.16,514758.19,518118.82428571436,543775.87,543783.4027,37,2011-04-15,543783.4027,136
74.57,3.807,214.1921572,8.3,0,1052868.74,22,4,2011,16,4,543775.87,527572.25,522264.2071428571,526434.37,526496.0804999997,37,2011-04-22,526496.0804999997,136
76.1,3.81,214.3580974,8.3,0,1005836.36,29,4,2011,17,4,526434.37,505610.4,522101.6528571429,502918.18,502747.18120000005,37,2011-04-29,502747.18120000005,136
69.56,3.906,214.5240376,8.3,0,1095026.6,6,5,2011,18,4,502918.18,478503.06,521717.05,547513.3,547429.4673000004,37,2011-05-06,547429.4673000004,136
76.73,3.899,214.6899778,8.3,0,1023743.26,13,5,2011,19,4,547513.3,522105.93,531575.6557142857,511871.63,512376.62440000015,37,2011-05-13,512376.62440000015,136
73.02,3.907,214.465412,8.3,0,1067128.84,20,5,2011,20,4,511871.63,534578.78,530113.6128571428,533564.42,533586.6387000005,37,2011-05-20,533586.6387000005,136
81.28,3.786,214.2408462,8.3,0,1014173.5,27,5,2011,21,4,533564.42,543703.16,529968.7042857142,507086.75,507060.6981000001,37,2011-05-27,507060.6981000001,136
82.96,3.699,214.0162805,8.3,0,1000762.46,3,6,2011,22,4,507086.75,543775.87,524737.7885714285,500381.23,500623.50029999984,37,2011-06-03,500623.50029999984,136
82.41,3.648,213.7917147,8.3,0,1019294.5,10,6,2011,23,4,500381.23,526434.37,518538.5542857143,509647.25,509602.5252000006,37,2011-06-10,509602.5252000006,136
84.43,3.637,213.7481256,8.3,0,1050264.72,17,6,2011,24,4,509647.25,502918.18,516140.39428571425,525132.36,525440.0123000001,37,2011-06-17,525440.0123000001,136
83.95,3.594,213.8402689,8.3,0,1018552.44,24,6,2011,25,4,525132.36,547513.3,519313.84857142856,509276.22,509230.98130000045,37,2011-06-24,509230.98130000045,136
85.33,3.524,213.9324122,8.177,0,1034042.6,1,7,2011,26,4,509276.22,511871.63,513851.40857142856,517021.3,516939.75129999965,37,2011-07-01,516939.75129999965,136
84.71,3.48,214.0245556,8.177,0,978119.86,8,7,2011,27,4,517021.3,533564.42,514587.0757142858,489059.93,489154.80929999985,37,2011-07-08,489154.80929999985,136
85.63,3.575,214.1083654,8.177,0,997499.24,15,7,2011,28,4,489059.93,507086.75,508229.29142857145,498749.62,498410.4072000001,37,2011-07-15,498410.4072000001,136
83.31,3.651,214.1713416,8.177,0,1011087.06,22,7,2011,29,4,498749.62,500381.23,507038.2728571429,505543.53,505326.31449999975,37,2011-07-22,505326.31449999975,136
84.99,3.682,214.2343177,8.177,0,1009949.9,29,7,2011,30,4,505543.53,509647.25,507775.7442857143,504974.95,505033.1887000003,37,2011-07-29,505033.1887000003,136
86.71,3.684,214.2972939,8.177,0,1021574.92,5,8,2011,31,4,504974.95,525132.36,507108.2728571428,510787.46,510917.9271000002,37,2011-08-05,510917.9271000002,136
87.64,3.638,214.3602701,8.177,0,1005008.78,12,8,2011,32,4,510787.46,509276.22,505059.0014285714,502504.39,502289.19539999997,37,2011-08-12,502289.19539999997,136
87.24,3.554,214.4239935,8.177,0,1013795.96,19,8,2011,33,4,502504.39,517021.3,504091.59714285715,506897.98,506725.02289999963,37,2011-08-19,506725.02289999963,136
86.02,3.523,214.4878416,8.177,0,1055894.42,26,8,2011,34,4,506897.98,489059.93,502645.40857142856,527947.21,527517.0927,37,2011-08-26,527517.0927,136
87.5,3.533,214.5516896,8.177,0,1060735.66,2,9,2011,35,4,527947.21,498749.62,508200.7342857143,530367.83,530162.4775,37,2011-09-02,530162.4775,136
77.94,3.546,214.6155376,8.177,0,1012547.48,9,9,2011,36,4,530367.83,505543.53,512717.62142857147,506273.74,506446.359,37,2011-09-09,506446.359,136
82.06,3.526,214.7934111,8.177,0,1026683.88,16,9,2011,37,4,506273.74,504974.95,512821.9371428572,513341.94,513230.2605000001,37,2011-09-16,513230.2605000001,136
78.35,3.467,215.1233185,8.177,0,1033113.88,23,9,2011,38,4,513341.94,510787.46,514017.2214285714,516556.94,516390.26279999973,37,2011-09-23,516390.26279999973,136
81.52,3.355,215.4532259,8.177,0,1032804.2,30,9,2011,39,4,516556.94,502504.39,514841.4328571429,516402.1,516329.1366999998,37,2011-09-30,516329.1366999998,136
71.2,3.285,215.7831333,7.716,0,1045633.7,7,10,2011,40,4,516402.1,506897.98,516826.81999999995,522816.85,522822.94110000035,37,2011-10-07,522822.94110000035,136
74.16,3.274,216.0885258,7.716,0,1027272.02,14,10,2011,41,4,522816.85,527947.21,519100.94428571424,513636.01,513462.2340000001,37,2011-10-14,513462.2340000001,136
67.89,3.353,216.2468287,7.716,0,1045568.66,21,10,2011,42,4,513636.01,530367.83,517056.48714285716,522784.33,522796.7306000004,37,2011-10-21,522796.7306000004,136
71.31,3.372,216.4051315,7.716,0,1034710.88,28,10,2011,43,4,522784.33,506273.74,515973.12999999995,517355.44,517429.8600999996,37,2011-10-28,517429.8600999996,136
58.97,3.332,216.5634344,7.716,0,1111851.2,4,11,2011,44,4,517355.44,513341.94,517556.23000000004,555925.6,555822.362100001,37,2011-11-04,555822.362100001,136
63.5,3.297,216.7217373,7.716,0,1002537.56,11,11,2011,45,4,555925.6,516556.94,523639.61,501268.78,500744.31190000015,37,2011-11-11,500744.31190000015,136
66.28,3.308,216.9395861,7.716,0,1054990.18,18,11,2011,46,4,501268.78,516402.1,521455.5871428572,527495.09,527255.5604,37,2011-11-18,527255.5604,136
66.41,3.236,217.1812533,7.716,0,1045108.08,25,11,2011,47,4,527495.09,522816.85,523040.3,522554.04,522641.44030000025,37,2011-11-25,522641.44030000025,136
53.57,3.172,217.4229206,7.716,0,1054235.62,2,12,2011,48,4,522554.04,513636.01,523002.7557142857,527117.81,527203.0456000001,37,2011-12-02,527203.0456000001,136
50.64,3.158,217.6645878,7.716,0,1074449.04,9,12,2011,49,4,527117.81,522784.33,524928.7271428572,537224.52,537151.5848,37,2011-12-09,537151.5848,136
58.31,3.159,217.8781339,7.716,0,1067811.34,16,12,2011,50,4,537224.52,517355.44,526991.6114285715,533905.67,533857.5645000003,37,2011-12-16,533857.5645000003,136
55.41,3.112,218.0541851,7.716,0,1211582.92,23,12,2011,51,4,533905.67,555925.6,529355.9299999999,605791.46,605893.7209999993,37,2011-12-23,605893.7209999993,136
48.26,3.129,218.2302364,7.716,0,902655.22,30,12,2011,52,4,605791.46,501268.78,536479.6242857144,451327.61,451267.0160000004,37,2011-12-30,451267.0160000004,136
57.18,3.157,218.4062876,7.244,0,1116687.14,6,1,2012,1,4,451327.61,527495.09,529345.1714285715,558343.57,558480.2754000003,37,2012-01-06,558480.2754000003,136
56.28,3.261,218.5823389,7.244,0,1092442.8,13,1,2012,2,4,558343.57,522554.04,533752.0971428572,546221.4,546345.7231000001,37,2012-01-13,546345.7231000001,136
58.9,3.268,218.6755292,7.244,0,1087788.14,20,1,2012,3,4,546221.4,527117.81,537133.1485714286,543894.07,543806.8644999999,37,2012-01-20,543806.8644999999,136
62.73,3.29,218.7687195,7.244,0,1028233.16,27,1,2012,4,4,543894.07,537224.52,539529.7571428571,514116.58,513997.3522000003,37,2012-01-27,513997.3522000003,136
61.33,3.36,218.8619099,7.244,0,1110848.48,3,2,2012,5,4,514116.58,533905.67,536228.6228571428,555424.24,555365.0075000008,37,2012-02-03,555365.0075000008,136
54.49,3.409,218.9551002,7.244,0,1054082.92,10,2,2012,6,4,555424.24,605791.46,539302.7042857142,527041.46,527283.59,37,2012-02-10,527283.59,136
54.38,3.51,219.1148297,7.244,0,1082142.58,17,2,2012,7,4,527041.46,451327.61,528052.7042857142,541071.29,541051.9136000001,37,2012-02-17,541051.9136000001,136
62.21,3.555,219.3244636,7.244,0,1037393.78,24,2,2012,8,4,541071.29,558343.57,540873.2299999999,518696.89,518633.73120000045,37,2012-02-24,518633.73120000045,136
64.54,3.63,219.5340975,7.244,0,1051118.34,2,3,2012,9,4,518696.89,546221.4,535209.4185714285,525559.17,525732.5002000001,37,2012-03-02,525732.5002000001,136
63.19,3.669,219.7437314,7.244,0,1071874.5,9,3,2012,10,4,525559.17,543894.07,532257.6714285715,535937.25,535848.8097000006,37,2012-03-09,535848.8097000006,136
67.48,3.734,219.8956335,7.244,0,969176.68,16,3,2012,11,4,535937.25,514116.58,531120.9828571428,484588.34,484920.9480999999,37,2012-03-16,484920.9480999999,136
69.18,3.787,219.9705599,7.244,0,1041774.46,23,3,2012,12,4,484588.34,555424.24,526902.6628571429,520887.23,520890.1218,37,2012-03-23,520890.1218,136
70.48,3.845,220.0454862,7.244,0,1067469.88,30,3,2012,13,4,520887.23,527041.46,521968.80428571434,533734.94,533563.7144000005,37,2012-03-30,533563.7144000005,136
73.95,3.891,220.1204125,6.989,0,1129697.56,6,4,2012,14,4,533734.94,541071.29,522925.0157142857,564848.78,564779.1127000003,37,2012-04-06,564779.1127000003,136
72.54,3.891,220.1953389,6.989,0,1013946.34,13,4,2012,15,4,564848.78,518696.89,526321.8,506973.17,506623.9764,37,2012-04-13,506623.9764,136
70.87,3.877,220.2483937,6.989,0,1046966.38,20,4,2012,16,4,506973.17,525559.17,524646.9828571429,523483.19,523542.1959000006,37,2012-04-20,523542.1959000006,136
70.06,3.814,220.3014485,6.989,0,1057614.9,27,4,2012,17,4,523483.19,535937.25,524350.4142857143,528807.45,528791.8851999998,37,2012-04-27,528791.8851999998,136
77.17,3.749,220.3545033,6.989,0,1070623.28,4,5,2012,18,4,528807.45,484588.34,523331.87142857147,535311.64,535231.2615000001,37,2012-05-04,535231.2615000001,136
76.55,3.688,220.4075581,6.989,0,1055966.08,11,5,2012,19,4,535311.64,520887.23,530578.0571428571,527983.04,528020.1910999998,37,2012-05-11,528020.1910999998,136
73.7,3.63,220.4252149,6.989,0,1069695.92,18,5,2012,20,4,527983.04,533734.94,531591.7442857142,534847.96,535033.7964999999,37,2012-05-18,535033.7964999999,136
78.94,3.561,220.4287124,6.989,0,1081251.58,25,5,2012,21,4,534847.96,564848.78,531750.7471428572,540625.79,540733.3698999998,37,2012-05-25,540733.3698999998,136
80.74,3.501,220.4322099,6.989,0,1063623.7,1,6,2012,22,4,540625.79,506973.17,528290.3200000001,531811.85,531705.0646999999,37,2012-06-01,531705.0646999999,136
81.5,3.452,220.4357073,6.989,0,1057881.56,8,6,2012,23,4,531811.85,523483.19,531838.7028571429,528940.78,528966.5516999996,37,2012-06-08,528966.5516999996,136
82.15,3.393,220.4494148,6.989,0,1017146.32,15,6,2012,24,4,528940.78,528807.45,532618.3585714286,508573.16,508623.72320000007,37,2012-06-15,508623.72320000007,136
80.4,3.346,220.4886472,6.989,0,968065.5,22,6,2012,25,4,508573.16,535311.64,529727.7457142858,484032.75,484247.88429999986,37,2012-06-22,484247.88429999986,136
86.68,3.286,220.5278796,6.989,0,1016619.62,29,6,2012,26,4,484032.75,527983.04,522402.19,508309.81,508347.93809999997,37,2012-06-29,508347.93809999997,136
81.52,3.227,220.567112,6.623,0,1038996.64,6,7,2012,27,4,508309.81,534847.96,519591.72857142857,519498.32,519622.4050000002,37,2012-07-06,519622.4050000002,136
78.15,3.256,220.6063444,6.623,0,1012010.94,13,7,2012,28,4,519498.32,540625.79,517398.92285714287,506005.47,506189.27220000006,37,2012-07-13,506189.27220000006,136
81.76,3.311,220.6148749,6.623,0,1007489.12,20,7,2012,29,4,506005.47,531811.85,512453.16285714286,503744.56,503368.7193999999,37,2012-07-20,503368.7193999999,136
84.0,3.407,220.6234054,6.623,0,1028978.34,27,7,2012,30,4,503744.56,528940.78,508443.54999999993,514489.17,514687.1092000002,37,2012-07-27,514687.1092000002,136
85.56,3.417,220.6319358,6.623,0,1043918.56,3,8,2012,31,4,514489.17,508573.16,506379.0342857143,521959.28,521907.3379000004,37,2012-08-03,521907.3379000004,136
84.41,3.494,220.6404663,6.623,0,1001929.18,10,8,2012,32,4,521959.28,484032.75,508291.33714285714,500964.59,500466.77020000026,37,2012-08-10,500466.77020000026,136
85.89,3.571,220.7199609,6.623,0,1019267.42,17,8,2012,33,4,500964.59,508309.81,510710.17142857146,509633.71,509705.32090000063,37,2012-08-17,509705.32090000063,136
81.26,3.62,220.8526787,6.623,0,1045330.08,24,8,2012,34,4,509633.71,519498.32,510899.3,522665.04,522667.9931000005,37,2012-08-24,522667.9931000005,136
84.79,3.638,220.9853964,6.623,0,1076688.2,31,8,2012,35,4,522665.04,506005.47,511351.6885714286,538344.1,539005.3647,37,2012-08-31,539005.3647,136
84.19,3.73,221.1181142,6.623,0,1053676.28,7,9,2012,36,4,538344.1,503744.56,515971.4928571428,526838.14,527259.9816999998,37,2012-09-07,527259.9816999998,136
78.16,3.717,221.2601207,6.623,0,1029303.48,14,9,2012,37,4,526838.14,514489.17,519270.57571428566,514651.74,514821.23920000007,37,2012-09-14,514821.23920000007,136
75.98,3.721,221.4578604,6.623,0,1042641.96,21,9,2012,38,4,514651.74,521959.28,519293.79999999993,521320.98,521454.95370000036,37,2012-09-21,521454.95370000036,136
79.49,3.666,221.6556,6.623,0,1055906.28,28,9,2012,39,4,521320.98,500964.59,519202.6142857143,527953.14,527586.6444999999,37,2012-09-28,527586.6444999999,136
73.57,3.617,221.8533396,6.228,0,1092244.74,5,10,2012,40,4,527953.14,509633.71,523058.12142857147,546122.37,545789.4546999995,37,2012-10-05,545789.4546999995,136
71.28,3.601,222.0510793,6.228,0,1043621.5,12,10,2012,41,4,546122.37,522665.04,528270.7871428571,521810.75,521901.99010000034,37,2012-10-12,521901.99010000034,136
74.06,3.594,222.0951719,6.228,0,1103938.2,19,10,2012,42,4,521810.75,538344.1,528148.7457142856,551969.1,551765.002,37,2012-10-19,551765.002,136
74.39,3.506,222.1136566,6.228,0,1069476.86,26,10,2012,43,4,551969.1,526838.14,530095.1742857143,534738.43,535043.7174999998,37,2012-10-26,535043.7174999998,136
60.06,3.083,126.6050645,13.975,0,671716.22,26,3,2010,12,4,333025.47,358496.14,344208.70999999996,335858.11,335523.2413,38,2010-03-26,335523.2413,136
59.84,3.086,126.6034839,14.099,0,737859.1,2,4,2010,13,4,335858.11,342214.9,340974.7057142857,368929.55,369034.75350000017,38,2010-04-02,369034.75350000017,136
59.25,3.09,126.6019032,14.099,0,683260.92,9,4,2010,14,4,368929.55,327237.92,344791.08428571426,341630.46,341482.72070000006,38,2010-04-09,341482.72070000006,136
64.95,3.109,126.5621,14.099,0,675446.98,16,4,2010,15,4,341630.46,334222.73,346847.1614285714,337723.49,337703.5609999999,38,2010-04-16,337703.5609999999,136
64.55,3.05,126.4713333,14.099,0,670243.64,23,4,2010,16,4,337723.49,372239.89,347347.27,335121.82,335357.92710000003,38,2010-04-23,335357.92710000003,136
67.38,3.105,126.3805667,14.099,0,675959.3,30,4,2010,17,4,335121.82,342023.92,342044.68857142853,337979.65,338238.0774999999,38,2010-04-30,338238.0774999999,136
70.15,3.127,126.2898,14.099,0,767314.88,7,5,2010,18,4,337979.65,333025.47,341466.9357142857,383657.44,384130.0657000001,38,2010-05-07,384130.0657000001,136
68.44,3.145,126.2085484,14.099,0,692348.6,14,5,2010,19,4,383657.44,335858.11,348700.0742857143,346174.3,345610.5744000001,38,2010-05-14,345610.5744000001,136
76.2,3.12,126.1843871,14.099,0,680994.16,21,5,2010,20,4,346174.3,368929.55,350173.8157142857,340497.08,340499.9857000001,38,2010-05-21,340499.9857000001,136
67.84,3.058,126.1602258,14.099,0,652938.86,28,5,2010,21,4,340497.08,341630.46,346112.0342857143,326469.43,326216.46020000015,38,2010-05-28,326216.46020000015,136
81.39,2.941,126.1360645,14.099,0,752369.76,4,6,2010,22,4,326469.43,337723.49,343946.17285714287,376184.88,376101.49470000004,38,2010-06-04,376101.49470000004,136
90.84,2.949,126.1119032,14.099,0,709657.3,11,6,2010,23,4,376184.88,335121.82,349440.65714285715,354828.65,354791.09069999994,38,2010-06-11,354791.09069999994,136
81.06,3.043,126.114,14.099,0,671383.7,18,6,2010,24,4,354828.65,337979.65,352255.91857142857,335691.85,335613.5588,38,2010-06-18,335613.5588,136
87.27,3.084,126.1266,14.099,0,644093.52,25,6,2010,25,4,335691.85,383657.44,351929.09,322046.76,321831.70529999974,38,2010-06-25,321831.70529999974,136
91.98,3.105,126.1392,14.18,0,722362.96,2,7,2010,26,4,322046.76,346174.3,343127.5642857143,361181.48,361094.4223000002,38,2010-07-02,361094.4223000002,136
90.37,3.1,126.1518,14.18,0,687700.68,9,7,2010,27,4,361181.48,340497.08,345271.4471428571,343850.34,343866.76930000004,38,2010-07-09,343866.76930000004,136
97.18,3.094,126.1498065,14.18,0,676555.42,16,7,2010,28,4,343850.34,326469.43,345750.4842857142,338277.71,338511.4842999999,38,2010-07-16,338511.4842999999,136
99.22,3.112,126.1283548,14.18,0,656673.7,23,7,2010,29,4,338277.71,376184.88,347437.3814285714,328336.85,328419.8204000002,38,2010-07-23,328419.8204000002,136
96.31,3.017,126.1069032,14.18,0,672756.76,30,7,2010,30,4,328336.85,354828.65,340601.9485714286,336378.38,335994.7649,38,2010-07-30,335994.7649,136
92.95,3.123,126.0854516,14.18,0,757148.88,6,8,2010,31,4,336378.38,335691.85,337966.1957142857,378574.44,378163.26060000015,38,2010-08-06,378163.26060000015,136
87.01,3.159,126.064,14.18,0,682801.44,13,8,2010,32,4,378574.44,322046.76,344092.27999999997,341400.72,341472.7067000002,38,2010-08-13,341472.7067000002,136
92.81,3.041,126.0766452,14.18,0,658279.46,20,8,2010,33,4,341400.72,361181.48,346857.1314285714,329139.73,329255.1585000001,38,2010-08-20,329255.1585000001,136
93.19,3.129,126.0892903,14.18,0,645737.12,27,8,2010,34,4,329139.73,343850.34,342279.7385714286,322868.56,322885.2105999998,38,2010-08-27,322885.2105999998,136
83.12,3.087,126.1019355,14.18,0,754193.1,3,9,2010,35,4,322868.56,338277.71,339282.34142857144,377096.55,377092.1865999999,38,2010-09-03,377092.1865999999,136
